"LISMORE, MOCOLLOP CASTLE",,,,,,,,,,,,
Grid ref,IW9354999376,Long,-8.094960,Lat,52.146530,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.83,7.31,4.90,2.90,,,,,,
February,,,4.45,2.98,6.27,2.21,,,,,,
March,,,3.20,6.35,1.71,6.80,,,,,,
April,,,3.40,2.05,1.85,4.05,,,,,,
May,,,1.66,3.72,2.70,1.60,,,,,,
June,,,3.15,3.00,1.60,1.95,,,,,,
July,,,3.40,6.11,4.40,1.66,,,,,,
August,,,6.01,5.08,3.46,7.27,,,,,,
September,,,3.00,4.73,4.15,1.80,,,,,,
October,,,2.32,6.00,2.65,1.30,,,,,,
November,,,7.76,2.05,2.40,4.18,,,,,,
December,,,3.03,4.50,2.22,2.70,,,,,,
Total,,,43.21,53.88,38.31,38.42,,,,,,
Calc annual,0.00,0.00,43.21,53.88,38.31,38.42,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
