"STEVENSTON GREENHEAD FILTERS",,,,,,,,,,,,
Grid ref,NS273437,Long,-4.746592,Lat,55.656035,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.10,2.25,2.40,6.80,4.40,2.85,4.20,3.10,5.60,3.70,,
February,3.50,2.50,2.30,4.50,4.10,3.90,3.30,3.60,3.20,2.50,,
March,0.40,1.30,2.40,6.70,2.30,4.80,2.30,6.00,4.40,1.80,,
April,2.80,3.40,2.30,1.80,4.40,2.70,1.20,2.70,1.80,3.70,,
May,3.30,1.70,2.70,3.10,2.90,2.10,5.20,4.50,3.30,1.50,,
June,2.80,3.90,1.70,2.60,2.10,1.20,1.30,5.20,2.50,2.50,,
July,3.45,1.40,4.90,4.10,3.10,3.10,3.70,3.20,4.00,4.70,,
August,5.00,5.50,2.35,7.40,5.90,4.10,5.05,5.50,2.80,2.80,,
September,3.25,4.20,4.30,4.25,4.75,3.30,2.30,2.60,6.00,1.90,,
October,8.00,5.70,2.70,8.80,2.50,4.00,6.30,6.80,1.60,8.20,,
November,5.20,4.20,3.50,4.00,3.90,4.90,4.70,4.20,3.37,1.50,,
December,7.60,4.90,4.30,3.90,3.00,4.95,4.60,6.40,3.20,4.80,,
Total,51.40,40.95,35.85,57.95,43.35,41.90,44.15,53.80,41.77,39.60,,
Calc annual,51.40,40.95,35.85,57.95,43.35,41.90,44.15,53.80,41.77,39.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
