"STRETHAM ORCHARD HOUSE",,,,,,,,,,,,
Grid ref,TL513746,Long,0.219862,Lat,52.348599,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.47,0.71,0.55,1.63,1.39,1.07,2.74,1.02,1.02,0.88,,
February,2.41,0.87,0.84,0.49,2.68,1.07,2.11,1.08,1.21,0.21,,
March,0.64,1.74,0.90,2.02,1.13,1.84,1.28,0.89,1.60,2.34,,
April,0.82,2.21,1.01,1.59,0.67,1.71,1.03,2.06,2.71,1.39,,
May,1.36,0.71,2.50,2.26,1.85,1.40,1.10,3.14,0.90,1.54,,
June,1.93,1.58,2.69,2.94,0.53,2.59,4.38,1.55,1.29,4.87,,
July,1.08,1.47,1.53,5.66,2.56,0.75,1.27,2.11,3.32,3.81,,
August,2.41,1.39,2.90,3.07,1.73,2.23,0.73,1.56,1.93,1.69,,
September,0.46,0.87,0.69,2.40,1.36,2.76,0.78,0.58,1.96,2.57,,
October,2.06,2.28,1.47,4.85,1.57,1.52,3.02,2.20,1.03,3.37,,
November,1.75,1.33,1.13,2.13,1.04,1.79,3.34,2.36,0.90,0.35,,
December,2.02,2.15,0.98,1.17,1.68,0.85,2.03,2.65,1.73,2.88,,
Total,19.41,17.31,17.19,30.21,18.19,19.58,23.81,21.20,19.60,25.90,,
Calc annual,19.41,17.31,17.19,30.21,18.19,19.58,23.81,21.20,19.60,25.90,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
