"ELGIN THE MANSE",,,,,,,,,,,,
Grid ref,NJ221630,Long,-3.306866,Lat,57.650150,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.80,0.60,,,,1.80,1.90,,
February,,,,1.95,2.20,,,,2.50,0.60,,
March,,,,1.85,0.30,,,,2.20,3.30,,
April,,,,1.70,1.40,,,,1.95,2.20,,
May,,,,2.00,1.85,,,,1.35,2.05,,
June,,,,1.40,0.70,,,,1.30,1.58,,
July,,,,3.90,0.20,,,,2.60,1.47,,
August,,,,3.50,2.70,,,,1.80,2.30,,
September,,,,1.73,1.25,,,,3.80,2.40,,
October,,,,2.40,1.00,,,,0.30,3.30,,
November,,,,3.20,1.60,,,,1.45,3.25,,
December,,,,0.60,1.50,,,,0.80,2.25,,
Total,,,,27.03,15.30,,,,21.85,26.60,,
Calc annual,0.00,0.00,0.00,27.03,15.30,0.00,0.00,0.00,21.85,26.60,,
Difference,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,0.00,0.00,,
