"CORK COLLEGE ROAD",,,,,,,,,,,,
Grid ref,IW6609971162,Long,-8.493000,Lat,51.893000,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.28,5.93,,,,,
February,,,,,,1.31,3.45,,,,,
March,,,,,,6.84,1.19,,,,,
April,,,,,,3.04,1.27,,,,,
May,,,,,,0.85,3.16,,,,,
June,,,,,,2.38,1.45,,,,,
July,,,,,,1.84,3.04,,,,,
August,,,,,,5.99,1.47,,,,,
September,,,,,,1.32,0.86,,,,,
October,,,,,,0.97,4.37,,,,,
November,,,,,,4.80,3.41,,,,,
December,,,,,,4.15,1.95,,,,,
Total,,,,,,36.77,31.55,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,36.77,31.55,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
