"STRATHPEFFER SPA, AMBATOOORY",,,,,,,,,,,,
Grid ref,NH481580,Long,-4.542531,Lat,57.586406,,,,,,,
Station no,5772,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.09,2.15,2.34,,,,,,,,,
February,1.75,1.99,1.22,,,,,,,,,
March,2.04,2.65,2.71,,,,,,,,,
April,2.77,1.05,1.84,,,,,,,,,
May,1.53,1.48,2.13,,,,,,,,,
June,2.56,2.45,2.07,,,,,,,,,
July,4.29,2.76,2.62,,,,,,,,,
August,3.00,2.65,1.92,,,,,,,,,
September,2.69,1.39,2.00,,,,,,,,,
October,3.50,3.06,2.19,,,,,,,,,
November,3.45,2.71,1.11,,,,,,,,,
December,5.12,4.00,5.25,,,,,,,,,
Total,36.79,28.34,27.40,,,,,,,,,
Calc annual,36.79,28.34,27.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
