"GLEN LUI, LARIG GHRU, NO 4",,,,,,,,,,,,
Grid ref,NN986950,Long,-3.672436,Lat,57.034909,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.50,,,,,,,,,
February,,,1.30,,,,,,,,,
March,,,2.80,,,,,,,,,
April,,,3.00,,,,,,,,,
May,,,4.20,,,,,,,,,
June,,,2.10,,,,,,,,,
July,,,3.20,,,,,,,,,
August,,,2.80,,,,,,,,,
September,,,2.60,,,,,,,,,
October,,,4.80,,,,,,,,,
November,,,4.10,,,,,,,,,
December,,,6.40,,,,,,,,,
Total,,,40.80,,,,,,,,,
Calc annual,0.00,0.00,40.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
