"SEDBERGH CEMETERY",,,,,,,,,,,,
Grid ref,SD652917,Long,-2.536493,Lat,54.319688,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.06,3.59,4.34,10.53,6.77,2.99,8.87,2.51,7.16,4.99,,
February,4.72,1.34,1.16,6.78,3.98,3.38,3.96,4.08,3.87,2.73,,
March,0.41,5.29,3.45,6.65,4.36,4.01,4.52,6.33,4.95,3.41,,
April,4.15,3.71,2.28,1.93,6.11,4.44,2.09,3.42,2.48,4.32,,
May,3.19,1.60,3.37,3.26,4.65,2.16,8.39,5.61,4.64,1.86,,
June,3.33,2.25,1.28,1.86,2.39,3.43,2.44,9.36,3.65,2.74,,
July,3.43,1.14,4.16,5.71,1.63,2.33,2.52,3.91,5.35,6.10,,
August,4.92,3.82,3.01,8.92,4.52,5.13,6.24,4.71,6.08,3.85,,
September,3.50,2.36,1.84,7.17,2.34,4.09,1.49,0.85,8.04,3.58,,
October,9.15,4.35,3.32,11.48,2.79,3.35,7.59,5.23,2.57,8.39,,
November,4.44,6.25,2.66,3.31,3.98,6.26,6.09,4.67,4.01,3.25,,
December,8.44,6.01,5.85,4.79,5.21,2.87,4.53,7.98,4.21,9.22,,
Total,56.74,41.71,36.72,72.39,48.73,44.44,58.73,58.66,57.01,54.44,,
Calc annual,56.74,41.71,36.72,72.39,48.73,44.44,58.73,58.66,57.01,54.44,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,,
