"ASHFORD OAKWOOD",,,,,,,,,,,,
Grid ref,TR003437,Long,0.863009,Lat,51.157484,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.04,1.78,0.93,,
February,,,,,,,,1.33,1.68,0.68,,
March,,,,,,,,0.86,2.42,4.41,,
April,,,,,,,,3.51,1.97,1.83,,
May,,,,,,,,1.91,1.93,0.98,,
June,,,,,,,,1.87,1.51,3.37,,
July,,,,,,,,1.68,2.78,3.64,,
August,,,,,,,,2.08,3.97,2.63,,
September,,,,,,,,0.48,1.51,3.76,,
October,,,,,,,,5.26,1.46,6.35,,
November,,,,,,,,2.80,1.42,0.61,,
December,,,,,,,,3.06,3.34,4.83,,
Total,,,,,,,,25.88,25.77,34.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.88,25.77,34.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
