"MAIDSTONE ALLINGTON LOCK",,,,,,,,,,,,
Grid ref,TQ748582,Long,0.505813,Lat,51.296094,,,,,,,
Station no,364,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.36,0.92,,
February,,,,,,,,,1.34,0.87,,
March,,,,,,,,0.74,2.15,3.03,,
April,,,,,,,,2.20,2.38,1.60,,
May,,,,,,,,2.23,1.57,1.23,,
June,,,,,,,,2.22,1.60,1.93,,
July,,,,,,,,0.66,2.99,3.85,,
August,,,,,,,,2.00,3.08,1.97,,
September,,,,,,,,0.47,1.48,2.91,,
October,,,,,,,,4.13,1.79,5.98,,
November,,,,,,,,1.90,1.01,1.12,,
December,,,,,,,,2.30,2.03,3.45,,
Total,,,,,,,,,22.78,28.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.85,22.78,28.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
