"PITLOCHRY DUNAVOURD",,,,,,,,,,,,
Grid ref,NN957570,Long,-3.704598,Lat,56.693044,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.87,2.98,1.61,5.93,2.62,1.24,4.38,1.95,,,,
February,3.03,1.39,0.99,5.64,4.32,1.96,2.81,2.83,,,,
March,1.02,2.30,1.73,6.30,1.76,4.63,2.08,1.84,,,,
April,2.78,1.80,2.66,1.80,3.18,2.46,1.29,3.24,,,,
May,2.86,1.90,1.43,1.47,1.84,1.53,5.94,3.38,,,,
June,3.28,2.22,1.79,2.01,1.34,1.10,0.66,3.08,,,,
July,3.42,1.38,2.16,3.33,1.61,1.59,1.63,2.17,,,,
August,3.05,3.91,2.64,4.79,3.66,4.11,4.47,4.68,,,,
September,2.28,3.77,2.67,2.74,2.42,1.87,1.36,1.20,,,,
October,3.72,3.07,1.34,6.90,0.87,2.67,4.62,3.59,,,,
November,3.46,1.23,5.29,1.28,1.40,4.55,4.69,2.33,,,,
December,5.62,3.53,6.26,3.00,2.49,2.28,2.42,2.77,,,,
Total,37.39,29.48,30.57,45.19,27.51,29.99,36.35,33.06,30.00,,,
Calc annual,37.39,29.48,30.57,45.19,27.51,29.99,36.35,33.06,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,NaN,,
