"NORTH BERWICK FIDRA",,,,,,,,,,,,
Grid ref,NT512869,Long,-2.785490,Lat,56.072422,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.05,0.50,0.80,3.30,0.80,0.20,1.30,0.10,2.70,0.30,,
February,3.40,1.10,0.85,3.18,2.70,0.40,0.30,0.20,0.12,0.90,,
March,1.20,1.00,0.90,0.74,0.95,1.30,0.70,0.30,2.27,3.00,,
April,0.47,0.55,0.85,0.35,0.75,0.90,0.40,0.20,1.00,2.65,,
May,0.50,2.00,1.05,0.60,3.15,0.50,5.80,1.70,2.60,1.33,,
June,1.90,0.70,2.60,1.80,1.40,,0.20,2.30,0.30,1.40,,
July,2.80,0.10,1.95,4.55,0.90,,0.20,0.70,2.00,2.25,,
August,3.90,4.30,2.25,2.91,4.20,1.70,6.19,1.00,0.80,1.95,,
September,1.00,0.45,4.20,2.79,1.60,0.60,0.10,0.60,4.45,1.05,,
October,3.40,1.60,0.24,5.75,0.80,1.00,2.70,6.60,1.50,2.00,,
November,4.70,2.95,0.19,0.80,0.50,3.40,3.20,1.12,0.35,0.30,,
December,2.60,2.45,3.30,0.85,1.90,0.40,0.10,4.20,0.20,2.65,,
Total,28.92,17.70,19.18,27.62,19.65,,21.19,19.02,18.29,19.78,,
Calc annual,28.92,17.70,19.18,27.62,19.65,10.40,21.19,19.02,18.29,19.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,0.00,0.00,-0.00,0.00,,
