"STRATHAVEN, EAST OVERTON HO.",,,,,,,,,,,,
Grid ref,NS709451,Long,-4.054823,Lat,55.682156,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,5.46,2.28,6.68,3.67,6.03,6.32,,
February,,,,,2.73,2.91,3.61,3.78,2.91,4.01,,
March,,,,,1.98,4.68,4.00,4.72,5.48,3.34,,
April,,,,,6.13,3.18,2.58,1.98,1.90,3.22,,
May,,,,,2.71,1.20,4.70,4.48,2.64,2.03,,
June,,,,,1.48,1.03,1.21,3.72,2.87,2.28,,
July,,,,,2.91,3.01,3.03,3.72,3.49,5.44,,
August,,,,,4.78,3.91,5.60,4.55,4.42,3.80,,
September,,,,,3.08,3.06,2.00,1.32,5.84,2.63,,
October,,,,,2.41,2.92,6.40,8.46,0.66,7.61,,
November,,,,,2.83,3.22,6.24,3.25,4.16,2.56,,
December,,,,,4.07,4.82,4.25,5.66,3.45,5.80,,
Total,,,,,40.57,36.22,50.30,49.31,43.85,49.04,,
Calc annual,0.00,0.00,0.00,0.00,40.57,36.22,50.30,49.31,43.85,49.04,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
