"KINGSKERSWELL EDGINSWELL MANOR HOUSE",,,,,,,,,,,,
Grid ref,SX887662,Long,-3.570202,Lat,50.485010,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.31,1.82,,
February,,,,,,,,,1.82,0.55,,
March,,,,,,,,,3.23,6.62,,
April,,,,,,,,,2.66,2.38,,
May,,,,,,,,,1.60,0.91,,
June,,,,,,,,,0.37,4.23,,
July,,,,,,,,,1.65,2.63,,
August,,,,,,,,,5.77,2.16,,
September,,,,,,,,,3.05,1.37,,
October,,,,,,,,,3.03,8.53,,
November,,,,,,,,,0.93,1.55,,
December,,,,,,,,,4.68,7.27,,
Total,,,,,,,,,30.10,40.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.10,40.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
