"HORWICH MONTCLIFFE",,,,,,,,,,,,
Grid ref,SD653122,Long,-2.525881,Lat,53.605203,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.30,2.98,2.47,1.26,5.68,,,,,
February,,,2.10,2.38,4.45,1.49,3.28,,,,,
March,,,3.17,3.15,2.46,2.86,1.96,,,,,
April,,,2.95,2.44,2.00,2.48,1.97,,,,,
May,,,3.15,4.07,2.29,0.73,4.27,,,,,
June,,,2.91,2.31,2.03,2.10,2.90,,,,,
July,,,4.77,3.09,1.60,2.19,1.85,,,,,
August,,,4.01,5.79,5.02,5.54,4.34,,,,,
September,,,2.14,5.64,2.21,3.02,2.06,,,,,
October,,,5.23,8.88,2.18,4.36,7.38,,,,,
November,,,3.01,3.87,2.87,4.90,2.52,,,,,
December,,,3.11,2.11,3.24,0.84,2.56,,,,,
Total,,,39.85,46.71,32.82,31.77,40.77,,,,,
Calc annual,0.00,0.00,39.85,46.71,32.82,31.77,40.77,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
