"ISLE OF LEWIS BUTT OF LEWIS",,,,,,,,,,,,
Grid ref,NB518664,Long,-6.263694,Lat,58.514786,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.87,1.41,5.19,4.03,5.36,4.98,5.26,7.69,3.62,5.57,,
February,1.93,2.55,1.62,6.24,3.58,6.73,8.46,3.57,4.22,2.21,,
March,1.36,2.37,3.24,7.11,1.42,3.72,3.25,4.14,4.09,2.95,,
April,2.70,2.25,1.90,2.55,5.43,1.93,2.72,2.40,2.40,2.03,,
May,2.87,0.34,1.18,0.91,1.82,1.18,2.91,1.36,1.64,2.49,,
June,3.57,2.43,0.70,1.44,1.38,1.32,1.48,4.13,3.16,1.30,,
July,3.94,1.42,2.87,2.05,1.85,2.02,3.05,2.22,0.80,1.70,,
August,2.36,3.44,1.65,6.93,4.82,5.10,2.86,4.77,2.41,2.76,,
September,5.53,1.87,2.13,2.74,3.38,4.75,1.19,2.04,3.32,1.27,,
October,5.70,6.73,5.98,8.89,4.60,4.53,2.93,1.80,1.84,5.62,,
November,4.05,3.94,2.90,5.50,6.04,4.02,4.44,4.07,5.46,5.00,,
December,8.14,6.70,4.98,2.18,6.20,5.33,8.07,4.22,3.45,3.90,,
Total,47.02,35.45,34.34,50.57,45.88,45.61,46.62,42.41,36.41,36.80,,
Calc annual,47.02,35.45,34.34,50.57,45.88,45.61,46.62,42.41,36.41,36.80,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
