"MORETONHAMPSTEAD BLACKINGSTONE",,,,,,,,,,,,
Grid ref,SX792855,Long,-3.710322,Lat,50.656613,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.31,1.86,2.02,,
February,,,,,,,,1.92,2.26,0.58,,
March,,,,,,,,1.16,4.64,8.30,,
April,,,,,,,,6.21,2.82,2.81,,
May,,,,,,,,4.80,2.44,1.04,,
June,,,,,,,,2.85,1.09,4.17,,
July,,,,,,,,1.37,1.76,2.33,,
August,,,,,,,,1.34,4.10,1.87,,
September,,,,,,,,0.90,2.98,1.90,,
October,,,,,,,,10.19,2.95,8.54,,
November,,,,,,,,4.71,1.99,1.46,,
December,,,,,,,,6.92,4.74,7.80,,
Total,,,,,,,,44.68,33.63,42.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.68,33.63,42.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
