"PULHAM ST MARY",,,,,,,,,,,,
Grid ref,TM207853,Long,1.244295,Lat,52.421129,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.09,0.39,0.94,,,,,,,,,
February,2.77,0.96,0.69,,,,,,,,,
March,1.08,1.86,1.14,,,,,,,,,
April,2.19,2.16,1.56,,,,,,,,,
May,1.31,1.49,2.98,,,,,,,,,
June,3.84,2.09,2.41,,,,,,,,,
July,1.04,1.14,1.38,,,,,,,,,
August,3.54,0.82,3.45,,,,,,,,,
September,0.75,0.68,1.06,,,,,,,,,
October,2.47,2.95,1.52,,,,,,,,,
November,2.17,1.79,1.45,,,,,,,,,
December,2.71,2.57,1.34,,,,,,,,,
Total,26.96,18.90,19.92,,,,,,,,,
Calc annual,26.96,18.90,19.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
