"COCKERMOUTH HIGHAM",,,,,,,,,,,,
Grid ref,NY185315,Long,-3.265289,Lat,54.671952,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.06,2.76,4.10,5.23,4.17,,6.41,1.86,5.54,4.21,,
February,4.49,1.84,0.76,7.02,3.50,,3.14,2.53,3.27,3.74,,
March,0.52,2.45,3.08,8.16,2.87,,3.00,4.65,4.58,3.70,,
April,2.72,2.36,2.17,1.67,3.26,,1.08,2.09,1.23,2.89,,
May,2.29,1.38,2.03,2.23,2.52,,4.80,3.94,3.07,1.54,,
June,2.56,2.16,1.65,0.98,1.18,,2.04,4.96,2.44,2.20,,
July,2.68,1.05,3.24,4.78,2.99,,2.71,1.98,3.88,6.63,,
August,7.69,5.29,2.47,6.85,4.49,,6.36,4.07,6.01,3.26,,
September,3.90,2.31,1.96,5.41,1.15,,1.23,0.30,4.55,3.23,,
October,6.88,6.03,4.04,10.07,3.09,,6.80,9.23,1.25,9.61,,
November,4.06,5.62,2.29,3.68,4.49,,4.33,4.37,3.49,3.13,,
December,8.33,5.78,5.04,3.72,4.42,,3.72,6.98,3.16,7.09,,
Total,51.18,39.03,32.83,59.80,38.13,,45.62,46.96,42.47,51.23,,
Calc annual,51.18,39.03,32.83,59.80,38.13,0.00,45.62,46.96,42.47,51.23,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,-0.00,,
