"ORTON, BAY HOUSE",,,,,,,,,,,,
Grid ref,SP804793,Long,-0.819574,Lat,52.405811,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.04,2.11,2.48,,,,,,,
February,,,1.95,1.13,3.40,,,,,,,
March,,,1.41,3.61,1.72,,,,,,,
April,,,1.45,2.33,1.32,,,,,,,
May,,,1.90,2.44,2.23,,,,,,,
June,,,2.38,2.67,1.10,,,,,,,
July,,,1.14,2.51,,,,,,,,
August,,,3.27,4.01,,,,,,,,
September,,,1.98,3.41,,,,,,,,
October,,,2.17,6.56,,,,,,,,
November,,0.88,1.59,1.80,1.28,,,,,,,
December,,3.99,1.08,1.43,1.82,,,,,,,
Total,,,21.36,34.01,,,,,,,,
Calc annual,0.00,4.87,21.36,34.01,15.35,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
