"BEINN MUICH DHUI, CARN A MHAIN NO 6",,,,,,,,,,,,
Grid ref,NN994991,Long,-3.660904,Lat,57.071900,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,4.50,13.50,5.50,3.40,5.25,4.00,,6.20,,
February,,,2.30,11.00,4.20,3.70,3.70,5.00,,2.00,,
March,,,3.60,12.00,2.80,7.10,4.70,4.80,,9.00,,
April,,,3.60,6.50,6.10,3.00,2.60,3.20,,4.80,,
May,,,3.60,2.00,3.30,3.00,5.50,4.50,,3.80,,
June,,,4.60,2.60,3.00,3.00,2.30,6.90,,1.40,,
July,,,5.00,7.40,3.20,3.80,3.80,3.20,,3.40,,
August,,,3.80,5.90,6.80,5.30,4.40,6.50,,3.00,,
September,,,3.80,8.50,3.80,2.70,2.50,2.80,,3.00,,
October,,,5.00,11.50,3.50,5.50,7.80,3.00,,7.10,,
November,,,6.50,6.50,3.00,8.50,8.20,4.30,3.80,3.60,,
December,,,7.10,3.20,4.60,3.20,5.25,4.00,2.60,3.60,,
Total,,,53.40,90.60,49.80,52.20,56.00,52.20,,50.90,,
Calc annual,0.00,0.00,53.40,90.60,49.80,52.20,56.00,52.20,6.40,50.90,,
Difference,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,0.00,,
