"TRUSTHORPE HALL",,,,,,,,,,,,
Grid ref,TF500820,Long,0.250113,Lat,53.313691,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,0.76,,
June,,,,,,,,,,3.36,,
July,,,,,,,,,,3.42,,
August,,,,,,,,,,3.41,,
September,,,,,,,,,,1.41,,
October,,,,,,,,,,3.80,,
November,,,,,,,,,,0.67,,
December,,,,,,,,,,4.58,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
