"BOLTON PERCY APPLETON HOUSE",,,,,,,,,,,,
Grid ref,SE541409,Long,-1.178898,Lat,53.861509,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.62,0.90,1.00,,,
February,,,,,,,1.67,1.27,1.46,,,
March,,,,,,,1.30,1.26,2.96,,,
April,,,,,,,1.40,1.42,,,,
May,,,,,,,1.57,2.64,,,,
June,,,,,,,1.46,2.84,,,,
July,,,,,,,0.77,1.76,,,,
August,,,,,,,2.58,2.04,,,,
September,,,,,,,0.69,0.81,,,,
October,,,,,,,4.75,4.84,,,,
November,,,,,,,2.77,2.89,,,,
December,,,,,,,1.98,2.46,,,,
Total,,,,,,,24.56,25.13,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.56,25.13,5.42,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,,
