"POOLE PARKSTONE & HEATHERLANDS HOUSE",,,,,,,,,,,,
Grid ref,SZ043923,Long,-1.940439,Lat,50.730303,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.83,2.39,1.14,2.83,,,7.94,1.09,1.02,1.10,,
February,5.40,2.20,1.73,2.01,,,3.90,1.39,1.46,0.55,,
March,1.20,2.64,2.59,3.65,,,1.55,0.66,3.72,4.64,,
April,1.37,2.78,1.66,3.27,,,1.27,3.82,2.53,1.50,,
May,1.57,0.88,2.50,2.74,,,3.10,2.28,1.68,1.79,,
June,2.46,1.47,3.21,2.53,,,1.27,2.30,0.43,4.09,,
July,0.44,1.89,1.92,3.30,,,1.54,1.19,1.96,2.23,,
August,2.65,2.12,4.37,4.25,,,0.94,1.74,3.92,3.32,,
September,1.16,4.00,1.74,2.38,,,0.83,0.73,2.55,3.94,,
October,2.85,3.07,2.50,9.35,,,6.92,9.69,2.11,8.93,,
November,4.29,0.66,4.23,1.79,,,4.89,2.98,1.13,0.73,,
December,5.97,5.02,1.74,3.64,,,2.33,4.01,3.54,5.11,,
Total,33.19,29.12,29.33,41.74,,,36.48,31.88,26.05,37.93,,
Calc annual,33.19,29.12,29.33,41.74,0.00,0.00,36.48,31.88,26.05,37.93,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,0.00,-0.00,0.00,0.00,,
