"COLINSBURGH, BALCHRYSTIE",,,,,,,,,,,,
Grid ref,NO459030,Long,-2.873893,Lat,56.216484,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.65,,
February,,,,,,,,,,1.25,,
March,,,,,,,,,,4.68,,
April,,,,,,,,,,3.63,,
May,,,,,,,,,,1.92,,
June,,,,,,,,,,1.60,,
July,,,,,,,,,,4.46,,
August,,,,,,,,,,2.58,,
September,,,,,,,,,,1.38,,
October,,,,,,,,,,3.64,,
November,,,,,,,,,,1.39,,
December,,,,,,,,,,3.42,,
Total,,,,,,,,,,32.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
