"BEN NEVIS OBSERVATORY",,,,,,,,,,,,
Grid ref,NN166712,Long,-5.004712,Lat,56.796089,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,35.32,20.12,24.75,33.45,21.71,,,,,,,
February,7.75,5.91,3.36,36.24,11.41,,,,,,,
March,3.84,14.95,18.73,37.96,8.65,,,,,,,
April,20.22,12.87,9.87,8.36,26.57,,,,,,,
May,11.52,4.74,15.84,6.61,10.88,,,,,,,
June,6.97,13.19,2.91,6.44,9.35,,,,,,,
July,13.12,4.54,12.22,13.26,8.03,,,,,,,
August,11.85,12.93,9.37,20.97,11.69,,,,,,,
September,16.96,10.65,12.45,10.72,13.15,,,,,,,
October,20.93,16.01,16.31,18.66,,,,,,,,
November,10.28,15.09,7.86,17.27,,,,,,,,
December,48.34,25.43,23.42,6.81,,,,,,,,
Total,207.10,156.43,157.09,216.75,,,,,,,,
Calc annual,207.10,156.43,157.09,216.75,121.44,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
