"HETHERSETT CEDAR GRANGE",,,,,,,,,,,,
Grid ref,TG147051,Long,1.168975,Lat,52.601244,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.88,1.36,0.72,0.82,,
February,,,,,,,3.08,1.62,2.32,0.52,,
March,,,,,,,2.00,1.34,2.28,2.98,,
April,,,,,,,0.60,3.43,2.67,1.22,,
May,,,,,,,2.47,2.51,1.36,1.28,,
June,,,,,,,2.34,2.73,1.23,3.08,,
July,,,,,,,0.61,1.98,3.53,3.13,,
August,,,,,,,1.62,1.16,2.82,2.48,,
September,,,,,,,0.98,0.57,2.29,1.53,,
October,,,,,,,3.16,3.08,1.15,3.50,,
November,,,,,,,4.28,2.69,1.43,1.22,,
December,,,,,,,2.82,2.49,1.50,5.00,,
Total,,,,,,,27.84,24.96,23.30,26.76,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.84,24.96,23.30,26.76,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
