"UPPER EIGIAU NO. 15",,,,,,,,,,,,
Grid ref,SH701643,Long,-3.944306,Lat,53.159932,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,4.30,18.12,,,16.66,,,,,
February,,-999.00,,,29.44,11.27,,,13.50,18.00,,
March,,,17.06,40.90,,9.52,12.75,,11.64,13.50,,
April,,-999.00,,11.02,16.66,11.17,10.77,-999.00,13.25,10.20,,
May,,-999.00,,,,,1.35,-999.00,11.25,4.40,,
June,,7.96,16.66,3.33,8.42,-999.00,14.78,-999.00,,,,
July,,-999.00,,10.82,,-999.00,3.50,-999.00,6.70,10.80,,
August,16.44,-999.00,,13.75,17.92,,8.49,-999.00,,,,
September,7.10,,,,,,9.87,-999.00,18.30,21.10,,
October,15.43,-999.00,34.17,22.22,11.52,31.52,15.18,-999.00,13.52,27.20,,
November,13.30,17.76,8.04,30.10,,,12.70,,5.10,,,
December,21.79,17.40,18.77,10.22,14.28,-999.00,19.50,,25.50,23.10,,
Total,,118.25,99.00,160.48,111.53,107.14,125.55,104.50,118.76,128.30,,
Calc annual,74.06,43.12,99.00,160.48,98.24,63.48,125.55,0.00,118.76,128.30,,
Difference,NaN,75.13,0.00,0.00,13.29,43.66,0.00,104.50,0.00,0.00,,
