"CUSHENTOWN",,,,,,,,,,,,
Grid ref,IO0326260636,Long,-6.441276,Lat,53.585628,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.88,,1.70,,,,,,,,,
February,2.25,,1.00,,,,,,,,,
March,1.10,,1.50,,,,,,,,,
April,2.55,,2.00,,,,,,,,,
May,2.00,,3.20,,,,,,,,,
June,4.10,,1.50,,,,,,,,,
July,3.70,,,,,,,,,,,
August,5.50,,,,,,,,,,,
September,1.30,,,,,,,,,,,
October,1.80,,,,,,,,,,,
November,,3.75,,,,,,,,,,
December,,3.30,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,27.18,7.05,10.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
