"DAVENTRY WELTON",,,,,,,,,,,,
Grid ref,SP581659,Long,-1.149643,Lat,52.288174,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.80,1.06,4.07,,,,,
February,,,,,3.40,0.69,2.36,,,,,
March,,,,,1.59,2.82,1.16,,,,,
April,,,,,0.93,1.59,0.40,,,,,
May,,,,,1.59,0.17,1.41,,,,,
June,,,,,0.91,2.90,5.52,,,,,
July,,,,,3.63,1.12,0.57,,,,,
August,,,,,2.32,3.51,1.24,,,,,
September,,,,,1.45,1.69,1.21,,,,,
October,,,,,1.24,1.02,4.80,,,,,
November,,,,,1.48,2.57,3.41,,,,,
December,,,,,1.37,0.84,2.12,,,,,
Total,,,,,22.71,19.98,28.27,,,,,
Calc annual,0.00,0.00,0.00,0.00,22.71,19.98,28.27,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,NaN,NaN,,
