"SHEEPSTOR (BURRATOR)",,,,,,,,,,,,
Grid ref,SX553680,Long,-4.041412,Lat,50.493886,,,,,,,
Station no,1644,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.81,3.88,3.14,5.19,10.17,3.34,11.36,2.97,3.68,2.90,,
February,9.59,1.95,2.38,3.74,9.85,2.35,6.38,3.69,3.97,0.90,,
March,2.92,3.01,4.02,6.03,2.92,9.50,2.55,2.27,6.06,8.55,,
April,2.73,4.78,2.67,2.08,3.25,4.83,1.70,9.71,3.68,4.40,,
May,2.81,2.43,1.80,2.78,5.31,1.13,6.12,5.03,3.45,1.85,,
June,6.15,2.61,2.54,0.52,2.09,3.21,1.94,5.56,1.17,2.90,,
July,2.39,1.75,2.51,3.55,7.17,1.32,2.22,2.95,4.50,6.01,,
August,4.50,5.17,3.98,4.35,4.11,7.16,5.24,3.56,5.61,3.33,,
September,2.84,4.71,2.01,3.53,4.38,3.00,1.91,1.86,3.31,1.95,,
October,4.34,3.83,3.54,9.47,3.06,3.16,10.12,10.11,2.75,13.26,,
November,6.33,1.04,6.41,1.89,3.21,9.08,4.88,5.22,3.48,2.09,,
December,10.17,9.09,5.21,5.49,6.93,3.06,4.79,8.60,7.10,9.94,,
Total,63.58,44.25,40.21,48.62,62.45,51.14,59.21,61.53,48.76,58.08,,
Calc annual,63.58,44.25,40.21,48.62,62.45,51.14,59.21,61.53,48.76,58.08,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
