"COOKHILL, CABRAGH HOUSE",,,,,,,,,,,,
Grid ref,IH5850012900,Long,-7.107222,Lat,54.062082,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.00,4.19,1.41,3.07,2.90,,
February,,,,,,2.35,2.35,2.07,2.25,1.71,,
March,,,,,,3.98,2.47,3.09,3.84,3.27,,
April,,,,,,1.88,1.95,2.80,2.04,4.23,,
May,,,,,,1.39,3.48,3.25,2.76,1.34,,
June,,,,,,1.98,1.88,4.76,1.89,2.55,,
July,,,,,,1.52,1.52,1.92,2.13,3.24,,
August,,,,,,6.14,4.78,3.17,2.07,1.70,,
September,,,,,,2.11,1.19,1.51,5.59,2.17,,
October,,,,,,1.84,5.58,3.90,1.33,5.68,,
November,,,,,,2.98,2.03,2.85,2.90,1.17,,
December,,,,,,2.19,2.58,3.00,3.10,4.46,,
Total,,,,,,31.36,34.00,33.73,32.97,34.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,31.36,34.00,33.73,32.97,34.42,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
