"COOTEHILL, ERRIGLE",,,,,,,,,,,,
Grid ref,IH5882513207,Long,-7.102195,Lat,54.064805,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.83,2.82,2.74,5.48,3.32,3.00,3.98,1.79,2.79,2.88,,
February,1.76,1.14,2.09,3.60,3.03,2.35,2.10,2.45,2.07,1.55,,
March,0.56,2.59,2.17,7.31,2.80,4.03,2.30,3.50,3.85,3.30,,
April,0.94,2.36,2.65,1.83,2.24,2.04,1.86,2.88,2.09,4.34,,
May,1.74,2.36,3.16,3.40,2.45,1.43,3.42,3.42,2.84,1.73,,
June,2.75,2.28,2.45,0.94,1.16,1.71,1.66,5.26,1.91,2.52,,
July,2.46,1.84,3.47,5.11,4.33,1.53,1.50,1.78,2.15,3.40,,
August,3.54,4.60,2.26,6.00,5.45,6.12,5.03,3.37,1.96,1.73,,
September,1.25,3.15,2.91,4.06,3.16,1.93,1.25,1.54,5.62,2.29,,
October,4.71,3.88,2.01,4.24,2.25,2.04,5.99,4.13,1.62,5.79,,
November,5.42,4.67,4.00,2.29,2.27,2.70,2.11,2.81,2.99,1.06,,
December,3.20,3.66,2.65,2.63,2.37,2.11,2.87,3.22,3.23,4.35,,
Total,30.16,35.35,32.56,46.89,34.83,30.99,34.07,36.15,33.12,34.94,,
Calc annual,30.16,35.35,32.56,46.89,34.83,30.99,34.07,36.15,33.12,34.94,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
