"WREXHAM PACK SADDLE RESERVOIR",,,,,,,,,,,,
Grid ref,SJ305478,Long,-3.037592,Lat,53.022960,,,,,,,
Station no,4290,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,3.19,1.70,4.17,3.50,1.19,4.49,1.42,2.23,2.41,,
February,4.31,1.07,1.73,2.64,3.64,1.44,2.92,1.74,2.07,1.53,,
March,1.33,3.33,1.47,6.58,1.69,3.71,1.63,2.04,4.17,2.53,,
April,2.13,2.48,2.28,1.93,1.23,2.60,0.82,1.67,3.49,2.57,,
May,2.01,1.33,3.61,4.40,1.89,0.80,2.50,2.97,3.13,1.10,,
June,1.51,2.29,1.60,1.41,1.11,2.11,0.88,4.04,2.89,4.15,,
July,1.73,3.94,1.56,2.88,1.69,3.40,1.13,2.25,3.32,2.55,,
August,6.79,2.42,3.44,5.14,5.11,4.56,2.43,2.87,3.23,2.63,,
September,0.56,0.90,1.70,4.77,1.31,1.41,0.99,1.01,5.04,2.95,,
October,4.21,3.20,4.53,9.03,1.49,2.17,6.30,6.75,2.69,4.31,,
November,3.23,3.55,2.30,2.84,1.95,3.61,3.16,2.92,2.63,0.71,,
December,3.37,5.23,2.93,2.48,2.40,0.84,4.29,2.93,2.59,5.80,,
Total,34.52,32.93,28.85,48.27,27.01,27.84,31.54,32.61,37.48,33.24,,
Calc annual,34.52,32.93,28.85,48.27,27.01,27.84,31.54,32.61,37.48,33.24,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
