"ARBROATH WATERWORKS",,,,,,,,,,,,
Grid ref,NO634407,Long,-2.597023,Lat,56.556839,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.65,1.43,0.71,3.38,1.46,0.34,1.38,0.88,1.27,1.04,,
February,3.36,1.36,1.07,3.31,3.75,0.69,0.63,0.88,0.40,0.58,,
March,1.25,1.34,0.93,1.78,1.43,2.74,0.84,1.36,2.90,2.51,,
April,1.37,2.06,1.72,0.69,1.33,1.43,0.81,1.80,0.42,2.51,,
May,1.04,1.68,1.91,1.33,1.63,1.32,4.24,3.88,1.62,1.90,,
June,1.49,1.60,1.96,1.58,0.56,0.48,1.31,4.76,0.84,0.27,,
July,4.04,0.48,2.78,4.32,0.77,1.17,0.70,1.88,1.76,2.12,,
August,3.05,3.13,1.86,3.74,4.46,2.96,5.68,2.00,1.17,,,
September,2.18,0.85,1.26,2.39,1.62,0.76,1.10,1.05,4.62,,,
October,2.64,1.62,1.11,4.47,0.74,1.09,3.62,3.19,1.71,,,
November,3.48,1.61,2.18,0.84,0.73,5.34,2.86,1.78,1.21,,,
December,3.26,2.60,2.36,1.90,1.16,0.87,2.67,2.66,2.15,,,
Total,30.81,19.76,19.85,29.73,19.64,19.19,25.84,26.12,20.07,,,
Calc annual,30.81,19.76,19.85,29.73,19.64,19.19,25.84,26.12,20.07,10.93,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,,
