"BRADFORD PEVERELL",,,,,,,,,,,,
Grid ref,SY653932,Long,-2.493097,Lat,50.737367,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.66,1.64,,
February,,,,,,,,,1.69,0.62,,
March,,,,,,,,,4.11,6.24,,
April,,,,,,,,,2.93,2.65,,
May,,,,,,,,,2.41,1.35,,
June,,,,,,,,,0.30,5.32,,
July,,,,,,,,,2.59,4.22,,
August,,,,,,,,,5.17,4.06,,
September,,,,,,,,,3.15,3.05,,
October,,,,,,,,,4.70,11.27,,
November,,,,,,,,,1.56,1.08,,
December,,,,,,,,,6.03,7.59,,
Total,,,,,,,,,36.30,49.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.30,49.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
