"OVER DARWEN PICKUP BANK NO 2",,,,,,,,,,,,
Grid ref,SD722236,Long,-2.422632,Lat,53.708078,,,,,,,
Station no,2946,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.18,3.51,4.57,4.77,5.23,2.07,6.66,1.89,4.04,2.85,,
February,3.87,2.17,1.75,4.57,4.99,2.82,4.58,2.29,4.28,2.71,,
March,0.40,4.16,3.56,6.32,3.18,3.95,3.84,4.07,3.81,3.41,,
April,2.79,3.21,3.29,2.43,3.43,4.01,2.26,2.35,2.63,4.06,,
May,2.69,1.27,3.31,3.74,3.01,0.66,4.42,4.38,3.21,2.87,,
June,3.29,2.57,1.71,1.54,1.58,3.87,1.27,8.51,2.21,3.44,,
July,1.83,2.98,4.11,4.51,1.96,2.89,2.23,2.92,4.83,7.09,,
August,6.05,2.79,2.83,5.51,4.90,5.35,4.15,5.08,4.50,4.12,,
September,2.18,1.22,2.52,-999.00,1.61,3.24,1.64,1.32,4.70,2.99,,
October,6.20,4.06,4.84,10.40,3.17,4.34,7.83,4.51,2.40,7.67,,
November,5.39,7.30,3.13,3.18,4.09,6.26,5.00,3.11,3.74,1.93,,
December,6.01,5.03,4.94,4.15,3.89,1.12,4.91,5.42,3.25,7.16,,
Total,46.88,40.27,40.56,57.10,41.04,40.57,48.79,45.85,43.60,50.30,,
Calc annual,46.88,40.27,40.56,51.12,41.04,40.58,48.79,45.85,43.60,50.30,,
Difference,0.00,0.00,0.00,5.98,-0.00,-0.01,0.00,0.00,-0.00,-0.00,,
