"BALLYMONEY BALNAMORE",,,,,,,,,,,,
Grid ref,IC9189825145,Long,-6.562191,Lat,55.065349,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,2.79,2.68,5.54,4.54,1.92,2.96,2.19,1.98,2.82,,
February,2.97,1.73,2.27,3.90,3.03,2.25,2.41,2.46,2.50,2.04,,
March,1.17,2.57,2.12,4.95,1.96,2.62,2.07,4.02,3.70,3.37,,
April,2.81,2.60,2.55,2.22,2.64,2.08,3.54,1.85,2.10,2.52,,
May,2.93,2.48,4.21,3.24,2.66,1.62,3.52,3.51,2.30,1.90,,
June,4.28,3.07,2.02,1.51,1.23,1.73,1.09,4.44,2.32,1.81,,
July,3.36,1.87,3.36,5.45,3.22,2.29,1.92,2.98,4.24,3.40,,
August,3.35,4.44,2.87,5.16,6.29,4.03,5.07,3.78,2.67,2.64,,
September,2.69,3.63,4.64,4.37,2.53,2.15,1.67,1.10,3.94,2.06,,
October,4.80,3.61,2.45,6.87,2.07,2.83,3.63,3.58,1.58,3.73,,
November,5.09,5.00,3.91,3.64,3.79,3.54,3.57,2.42,2.66,1.80,,
December,3.66,4.13,3.52,2.05,2.37,2.19,4.15,2.73,2.85,2.97,,
Total,40.75,37.92,36.60,48.90,36.33,29.25,35.60,35.06,32.84,31.06,,
Calc annual,40.75,37.92,36.60,48.90,36.33,29.25,35.60,35.06,32.84,31.06,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
