"ABERNETHY AYTON HOUSE",,,,,,,,,,,,
Grid ref,NO167153,Long,-3.348473,Lat,56.322739,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.28,0.94,7.17,2.71,0.76,4.17,0.78,3.10,,,
February,,2.24,1.38,6.02,4.12,1.00,1.82,2.16,1.88,,,
March,,3.59,1.28,5.96,2.13,3.53,1.68,2.17,4.25,,,
April,,3.43,1.63,0.30,3.16,1.56,0.58,1.77,1.20,,,
May,,2.90,1.51,1.94,1.28,1.68,6.07,4.26,1.72,,,
June,,1.95,1.67,2.38,1.95,0.52,1.14,3.41,1.15,,,
July,,0.80,2.63,4.27,1.64,1.40,0.95,1.76,2.38,,,
August,,2.68,2.19,4.64,5.00,2.98,4.23,3.50,2.86,,,
September,,2.97,1.69,2.25,3.25,1.74,1.20,0.60,4.15,,,
October,,2.84,1.85,6.52,1.00,2.50,3.86,6.12,2.40,,,
November,,2.55,2.46,1.90,0.33,5.90,3.75,2.35,2.60,,,
December,,4.39,5.99,3.35,2.95,2.69,1.84,4.70,1.96,,,
Total,,32.62,25.22,46.70,29.52,26.26,31.29,33.58,29.65,,,
Calc annual,0.00,32.62,25.22,46.70,29.52,26.26,31.29,33.58,29.65,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
