"LEWISHAM FOREST HILL CEMETERY",,,,,,,,,,,,
Grid ref,TQ349741,Long,-0.060049,Lat,51.449824,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.93,2.62,0.77,1.03,0.84,,
February,,,,,,0.59,1.29,0.87,1.22,0.37,,
March,,,,,,2.76,0.85,0.77,1.96,2.36,,
April,,,,,,1.30,0.48,2.87,1.82,1.03,,
May,,,,,,0.86,1.07,1.41,1.17,0.59,,
June,,,,,,4.30,1.54,2.11,1.89,2.76,,
July,,,,,,0.70,0.62,0.63,3.71,2.33,,
August,,,,,,2.61,1.44,1.99,2.00,0.67,,
September,,,,,,1.26,1.36,0.64,1.17,1.41,,
October,,,,,,0.83,2.35,2.62,1.85,3.27,,
November,,,,,,2.43,2.98,1.57,0.72,0.81,,
December,,,,,,0.41,1.60,1.91,1.88,1.43,,
Total,,,,,,18.98,18.20,18.16,20.42,17.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.98,18.20,18.16,20.42,17.87,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,,
