"WESSENDEN HOLLIN BANK MOSS",,,,,,,,,,,,
Grid ref,SE068086,Long,-1.898782,Lat,53.573959,,,,,,,
Station no,3188,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.81,1.47,2.50,3.50,2.73,1.78,3.13,1.76,1.36,2.62,,
February,3.06,1.19,0.80,3.79,2.86,0.86,1.33,0.49,1.70,4.21,,
March,0.56,3.23,1.47,5.25,1.79,2.72,2.92,2.79,2.68,3.46,,
April,2.13,1.82,1.88,1.31,3.21,3.02,0.84,1.83,0.94,5.60,,
May,1.14,1.56,2.69,4.64,2.71,0.95,2.47,1.71,3.39,4.25,,
June,3.72,1.38,2.00,1.49,1.39,3.05,1.55,4.96,1.77,3.16,,
July,2.72,3.88,2.36,3.87,2.40,2.53,1.45,2.12,4.40,8.02,,
August,4.52,2.10,3.19,4.62,4.39,4.82,3.32,3.32,2.69,6.36,,
September,1.44,0.53,2.32,4.80,0.80,3.16,0.91,0.60,4.79,3.63,,
October,4.13,2.67,4.27,7.33,1.50,2.12,4.35,4.65,3.09,8.58,,
November,2.74,5.57,1.61,2.47,1.81,4.27,3.68,4.09,4.01,0.25,,
December,4.49,3.52,3.10,1.43,2.09,2.06,1.18,2.73,2.64,10.08,,
Total,35.46,28.92,28.19,44.50,27.68,31.34,27.13,31.05,33.46,60.22,,
Calc annual,35.46,28.92,28.19,44.50,27.68,31.34,27.13,31.05,33.46,60.22,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
