"JEDBURGH (CRAILING)",,,,,,,,,,,,
Grid ref,NT687243,Long,-2.497171,Lat,55.511453,,,,,,,
Station no,5049,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.30,1.59,2.07,2.44,,
February,,,,,,,1.24,1.05,1.64,2.00,,
March,,,,,,,2.09,1.59,3.87,4.26,,
April,,,,,,,1.19,2.84,1.44,3.08,,
May,,,,,,,4.94,3.85,1.76,1.37,,
June,,,,,,,2.49,4.11,1.70,1.82,,
July,,,,,,,1.78,2.69,2.60,2.49,,
August,,,,,,,5.64,2.88,1.89,1.98,,
September,,,,,,2.68,0.47,0.67,2.35,2.47,,
October,,,,,,2.69,5.87,6.19,1.90,3.41,,
November,,,,,,3.26,2.99,1.72,1.33,0.74,,
December,,,,,,0.69,1.62,3.49,0.76,3.21,,
Total,,,,,,,32.62,32.67,23.31,29.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,9.32,32.62,32.67,23.31,29.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
