"PETERSFIELD NURSTED HOUSE",,,,,,,,,,,,
Grid ref,SU749213,Long,-0.934294,Lat,50.986240,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.00,,
February,,,,,,,,,,0.69,,
March,,,,,,,,,,5.37,,
April,,,,,,,,,,1.91,,
May,,,,,,,,,,2.32,,
June,,,,,,,,,,3.17,,
July,,,,,,,,,,3.50,,
August,,,,,,,,,,2.55,,
September,,,,,,,,,,2.86,,
October,,,,,,,,,,9.31,,
November,,,,,,,,,,0.69,,
December,,,,,,,,,,5.13,,
Total,,,,,,,,,,38.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
