"CATERHAM ASYLUM",,,,,,,,,,,,
Grid ref,TQ326558,Long,-0.099948,Lat,51.285910,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.21,1.37,0.93,2.65,5.44,1.24,6.03,1.36,1.98,1.33,,
February,5.58,1.88,1.20,1.73,3.63,0.96,3.02,2.02,1.41,0.75,,
March,0.91,3.15,1.95,3.44,1.97,4.45,1.70,1.14,3.19,3.88,,
April,1.30,2.43,0.89,2.54,1.59,1.80,0.68,4.08,3.06,2.13,,
May,1.30,1.88,2.86,3.13,2.74,0.78,1.60,2.40,2.39,1.52,,
June,3.10,1.84,4.65,6.43,1.03,6.41,1.91,2.19,1.76,3.04,,
July,1.30,1.40,1.62,4.09,1.30,0.65,0.56,1.63,3.73,3.70,,
August,3.39,2.25,3.20,6.90,1.78,2.73,1.01,3.62,4.58,2.47,,
September,1.58,2.08,0.84,2.63,1.46,2.42,2.09,0.78,1.47,3.35,,
October,2.27,3.84,2.31,8.08,2.50,1.57,4.21,3.93,2.48,5.93,,
November,3.27,0.86,2.50,2.92,1.86,5.36,6.32,2.74,0.98,1.17,,
December,4.29,5.58,1.69,2.24,3.07,0.87,2.61,3.59,3.04,4.29,,
Total,32.50,28.56,24.64,46.78,28.37,29.24,31.74,29.48,30.07,33.56,,
Calc annual,32.50,28.56,24.64,46.78,28.37,29.24,31.74,29.48,30.07,33.56,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
