"LITTLE DENNY RESERVOIR",,,,,,,,,,,,
Grid ref,NS799816,Long,-3.927940,Lat,56.012233,,,,,,,
Station no,5348,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.25,2.40,3.92,10.80,4.75,2.73,5.40,3.45,6.70,5.45,,
February,1.80,1.10,1.50,10.20,3.50,2.70,2.93,3.75,2.85,2.34,,
March,0.60,1.90,3.50,10.70,2.50,4.16,4.81,4.91,4.14,3.20,,
April,2.50,3.00,0.85,2.50,5.00,3.60,1.78,2.10,1.35,3.85,,
May,1.90,1.95,2.00,2.60,3.80,2.91,5.26,4.57,3.50,3.90,,
June,3.80,2.95,2.31,3.20,1.75,0.47,1.98,5.55,2.35,1.95,,
July,2.45,1.65,4.00,5.60,2.75,3.46,2.40,2.84,4.00,4.00,,
August,3.63,5.00,2.37,6.25,5.15,4.60,5.30,6.25,3.25,3.85,,
September,4.50,2.40,2.70,3.75,3.20,2.10,2.62,1.86,8.25,2.10,,
October,5.25,4.70,3.95,9.50,2.05,2.60,6.59,6.80,1.95,4.94,,
November,4.42,3.65,2.16,2.72,2.32,4.30,4.98,2.45,3.30,3.60,,
December,6.20,4.90,4.80,3.80,5.60,4.50,3.86,7.43,3.75,6.52,,
Total,41.30,35.60,34.06,71.62,42.37,38.13,47.91,51.96,45.39,45.70,,
Calc annual,41.30,35.60,34.06,71.62,42.37,38.13,47.91,51.96,45.39,45.70,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
