"SKIPTON CRINGLES RESERVOIR",,,,,,,,,,,,
Grid ref,SE046475,Long,-1.931441,Lat,53.923616,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.13,1.98,1.84,2.85,2.31,0.98,4.12,1.15,2.21,1.50,,
February,3.67,1.04,1.12,3.53,2.82,1.64,2.12,1.84,2.26,1.54,,
March,0.65,2.47,2.21,4.90,1.22,2.44,2.07,2.87,3.29,2.29,,
April,1.02,2.51,1.17,1.41,1.47,1.95,1.23,1.85,1.98,2.74,,
May,1.44,0.79,2.35,2.42,2.84,0.42,2.95,3.00,2.30,2.17,,
June,3.61,1.11,1.47,1.52,1.34,1.83,1.99,4.49,0.98,2.28,,
July,3.29,1.27,2.48,4.19,1.99,1.17,2.24,2.60,3.84,3.60,,
August,4.47,1.91,1.81,3.56,2.84,3.84,3.32,2.42,2.62,2.37,,
September,1.07,1.58,1.31,4.63,0.81,2.14,0.65,0.71,3.17,3.00,,
October,4.50,2.08,3.46,8.61,0.89,2.60,4.98,5.28,1.95,2.42,,
November,3.93,4.78,2.50,2.20,2.44,4.05,3.60,1.97,2.21,1.24,,
December,3.08,3.36,2.73,1.55,2.16,0.61,2.46,3.56,2.44,4.37,,
Total,34.86,24.88,24.45,41.37,23.13,23.67,31.73,31.74,29.25,29.52,,
Calc annual,34.86,24.88,24.45,41.37,23.13,23.67,31.73,31.74,29.25,29.52,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
