"BALLYMENA HARRYVILLE",,,,,,,,,,,,
Grid ref,ID1070002800,Long,-6.276621,Lat,54.860868,,,,,,,
Station no,6235,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.16,3.05,2.57,6.48,4.41,3.03,3.90,2.68,3.66,4.53,,
February,3.97,2.14,3.04,3.53,3.43,3.22,3.65,2.93,3.51,2.49,,
March,1.36,3.31,2.49,4.83,2.29,4.56,2.70,4.30,4.79,4.08,,
April,3.82,3.84,2.13,2.01,2.60,2.46,3.13,2.64,3.71,4.64,,
May,3.86,2.05,3.68,2.81,2.72,1.99,4.42,4.36,2.12,2.40,,
June,3.92,3.80,2.37,1.55,1.39,2.65,1.03,6.06,3.44,2.40,,
July,3.21,1.09,3.36,4.20,3.51,2.39,2.95,4.05,3.94,4.48,,
August,4.44,4.56,4.38,5.36,6.58,5.78,5.31,4.18,3.58,3.07,,
September,2.76,3.77,4.72,3.79,3.92,2.09,1.83,1.59,4.62,2.66,,
October,5.46,5.07,2.38,6.41,1.89,2.58,5.29,4.43,1.94,4.97,,
November,6.02,5.02,4.09,2.41,3.58,4.68,4.19,3.55,3.81,2.02,,
December,3.95,4.80,3.56,3.44,3.05,2.41,4.71,3.89,4.39,3.97,,
Total,46.93,42.50,38.77,46.82,39.37,37.84,43.11,44.66,43.51,41.71,,
Calc annual,46.93,42.50,38.77,46.82,39.37,37.84,43.11,44.66,43.51,41.71,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
