"LADY CLOUGH MOOR",,,,,,,,,,,,
Grid ref,SK112925,Long,-1.832905,Lat,53.429172,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.60,1.50,3.40,2.10,,
February,,,,,,,2.60,1.70,3.80,3.00,,
March,,,,,,,3.40,3.40,3.20,4.00,,
April,,,,,,,1.30,3.50,2.60,3.30,,
May,,,,,,,4.20,4.80,3.60,2.70,,
June,,,,,,,1.90,8.50,2.20,4.90,,
July,,,,,,,3.30,3.20,5.80,7.40,,
August,,,,,,,5.60,5.20,4.30,3.60,,
September,,,,,,,2.00,0.90,3.80,3.40,,
October,,,,,,,7.90,8.20,1.90,6.60,,
November,,,,,,,6.50,4.10,3.60,2.00,,
December,,,,,,,3.00,4.20,3.20,6.70,,
Total,,42.80,40.40,56.20,,41.40,47.30,49.20,41.40,49.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,47.30,49.20,41.40,49.70,,
Difference,NaN,42.80,40.40,56.20,NaN,41.40,0.00,0.00,0.00,0.00,,
