"NORTH HESSARY TOR NO 2",,,,,,,,,,,,
Grid ref,SX579742,Long,-4.007144,Lat,50.550245,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.20,,,,9.93,3.10,4.20,3.30,,
February,,,0.90,,,,3.15,3.46,4.20,0.95,,
March,,,4.30,,,,2.85,2.55,5.20,7.55,,
April,,,2.50,,,,1.85,7.32,3.50,4.00,,
May,,,3.00,,,,4.90,5.15,3.30,2.50,,
June,,,3.70,,,,1.90,5.55,1.25,3.46,,
July,,,2.15,,,,2.33,3.30,4.70,5.85,,
August,,,2.85,,,,5.18,4.20,5.55,3.16,,
September,,,0.90,,,,1.25,1.60,2.95,2.75,,
October,,,3.90,,,,9.35,9.00,2.10,10.75,,
November,,,4.15,,,,4.82,5.15,4.07,2.45,,
December,,,1.85,,,,5.20,7.90,6.15,8.90,,
Total,35.67,,33.40,41.52,-999.00,44.36,52.71,58.28,47.17,55.62,,
Calc annual,0.00,0.00,33.40,0.00,0.00,0.00,52.71,58.28,47.17,55.62,,
Difference,35.67,NaN,0.00,41.52,-999.00,44.36,0.00,0.00,0.00,0.00,,
