"SKYE SCALPAY ISLAND",,,,,,,,,,,,
Grid ref,NG630283,Long,-5.934140,Lat,57.283644,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.57,6.19,6.80,9.05,8.39,6.82,11.32,8.20,11.73,12.39,,
February,4.04,4.31,3.91,14.64,6.81,6.14,6.59,7.48,7.34,3.78,,
March,1.41,5.97,8.97,14.59,4.65,7.24,6.00,7.55,7.24,0.96,,
April,7.00,4.20,2.75,3.82,11.70,3.50,4.65,4.45,2.41,3.17,,
May,5.03,1.02,3.55,3.76,5.66,3.47,4.61,2.57,4.25,4.54,,
June,3.06,4.67,1.57,2.32,3.97,2.13,0.81,5.52,5.80,0.99,,
July,3.73,3.20,2.98,5.88,2.55,3.29,9.11,3.60,2.47,4.97,,
August,5.16,6.17,5.20,11.20,10.86,5.88,7.69,6.27,11.28,6.33,,
September,7.54,6.81,5.50,5.33,5.84,6.31,4.87,2.45,13.57,1.77,,
October,9.34,9.06,6.86,11.05,7.46,10.15,8.43,5.75,5.94,12.51,,
November,6.17,4.73,6.64,9.03,5.78,8.31,8.25,9.54,8.76,6.83,,
December,14.39,10.11,7.56,5.90,7.11,9.48,16.78,7.46,10.50,7.46,,
Total,76.44,66.44,62.29,96.57,80.78,72.72,89.11,70.84,91.29,65.70,,
Calc annual,76.44,66.44,62.29,96.57,80.78,72.72,89.11,70.84,91.29,65.70,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
