"COUPAR ANGUS",,,,,,,,,,,,
Grid ref,NO222402,Long,-3.266988,Lat,56.547323,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.83,2.09,1.12,3.80,2.07,0.44,2.95,1.16,2.02,2.19,,
February,3.57,1.14,1.07,3.77,3.70,0.74,1.24,1.26,1.34,0.66,,
March,0.91,2.09,0.95,3.91,1.90,3.07,1.19,1.73,3.41,3.17,,
April,1.85,2.62,1.51,1.31,2.27,1.31,0.92,1.96,0.85,3.26,,
May,2.97,2.13,1.36,1.23,2.40,1.83,4.46,3.34,2.01,3.07,,
June,2.56,1.64,2.06,2.30,0.86,0.91,1.27,3.75,1.74,0.83,,
July,2.49,1.47,2.33,4.12,2.28,1.48,0.92,2.36,2.05,2.74,,
August,4.28,3.73,3.19,4.19,4.34,3.33,4.65,3.78,3.95,1.39,,
September,1.92,1.76,1.83,2.57,2.46,1.36,1.20,0.76,3.72,1.64,,
October,3.47,2.62,1.18,4.81,0.97,1.86,3.58,4.80,2.86,4.16,,
November,3.86,1.56,4.69,0.86,0.69,5.07,3.67,1.85,1.98,0.48,,
December,3.96,3.09,4.60,2.81,2.16,1.54,1.62,3.83,1.75,3.12,,
Total,35.67,25.94,25.89,35.68,26.10,22.94,27.67,30.58,27.68,26.71,,
Calc annual,35.67,25.94,25.89,35.68,26.10,22.94,27.67,30.58,27.68,26.71,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
