"WEMYSS BAY, KELLY",,,,,,,,,,,,
Grid ref,NS196686,Long,-4.885282,Lat,55.876682,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,6.24,,
February,,,,,,,,,,2.53,,
March,,,,,,,,,,3.24,,
April,,,,,,,,,,4.10,,
May,,,,,,,,,,2.60,,
June,,,,,,,,,2.81,2.24,,
July,,,,,,,,,5.23,4.11,,
August,,,,,,,,,4.98,2.97,,
September,,,,,,,,,7.23,2.25,,
October,,,,,,,,,1.34,5.94,,
November,,,,,,,,,3.30,2.47,,
December,,,,,,,,,4.53,5.31,,
Total,,,,,,,,,,44.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.42,44.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
