"SWANAGE WORTH MATRAVERS",,,,,,,,,,,,
Grid ref,SY973774,Long,-2.039507,Lat,50.596319,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.59,1.11,6.04,,,,,
February,,,,,4.01,0.73,3.22,,,,,
March,,,,,1.64,4.91,2.05,,,,,
April,,,,,1.43,1.76,1.48,,,,,
May,,,,,3.43,0.80,3.85,,,,,
June,,,,2.33,0.92,3.53,1.12,,,,,
July,,,,2.74,2.74,0.54,1.13,,,,,
August,,,,3.23,4.49,2.86,1.15,,,,,
September,,,,2.36,2.97,2.96,0.68,,,,,
October,,,,8.07,2.97,2.50,5.78,,,,,
November,,,,1.62,1.48,4.99,4.40,,,,,
December,,,,2.58,3.32,0.82,2.36,,,,,
Total,,,,,33.99,27.51,33.26,,,,,
Calc annual,0.00,0.00,0.00,22.93,33.99,27.51,33.26,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,,
