"MOFFAT ERICSTANE",,,,,,,,,,,,
Grid ref,NT072109,Long,-3.466271,Lat,55.383263,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.18,3.78,3.58,8.00,5.15,3.12,6.70,2.83,6.23,6.32,,
February,2.86,1.55,2.23,8.53,4.37,3.49,3.75,4.25,3.85,2.54,,
March,0.47,3.11,3.07,12.50,4.53,6.80,3.47,5.24,7.59,4.58,,
April,4.90,4.40,2.86,1.23,5.53,3.99,1.66,3.24,1.84,4.29,,
May,4.57,2.35,2.22,1.70,-999.00,3.18,6.41,5.29,3.21,2.73,,
June,4.85,4.16,1.31,2.48,3.99,2.25,1.77,5.03,3.35,3.62,,
July,3.52,1.79,2.20,3.92,3.68,2.05,2.64,3.06,2.93,5.05,,
August,4.07,5.88,2.74,6.67,5.03,3.99,8.32,5.64,4.66,2.02,,
September,4.38,4.77,3.22,3.64,3.47,2.26,1.42,0.75,7.27,2.25,,
October,5.66,5.81,3.52,11.45,2.71,3.60,7.30,8.99,1.93,11.14,,
November,5.38,4.62,3.80,3.36,2.03,4.93,4.98,2.95,4.24,1.55,,
December,12.04,6.33,7.11,4.78,5.05,3.77,3.81,5.86,4.92,6.23,,
Total,59.88,48.55,37.86,68.26,48.84,43.43,52.23,53.13,52.02,52.32,,
Calc annual,59.88,48.55,37.86,68.26,45.54,43.43,52.23,53.13,52.02,52.32,,
Difference,-0.00,0.00,0.00,0.00,3.30,0.00,-0.00,0.00,-0.00,-0.00,,
