"SPROWSTON HALL",,,,,,,,,,,,
Grid ref,TG260126,Long,1.340666,Lat,52.663975,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.59,,
February,,,,,,,,,,0.50,,
March,,,,,,,,,,2.50,,
April,,,,,,,,,2.03,1.21,,
May,,,,,,,,,1.55,1.04,,
June,,,,,,,,,1.03,2.52,,
July,,,,,,,,,2.63,2.63,,
August,,,,,,,,,2.02,1.29,,
September,,,,,,,,,1.44,1.57,,
October,,,,,,,,,1.32,3.46,,
November,,,,,,,,,1.66,1.18,,
December,,,,,,,,,1.31,4.21,,
Total,,,,,,,,,,22.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.99,22.70,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
