"BRAYSTONES",,,,,,,,,,,,
Grid ref,NY008058,Long,-3.530977,Lat,54.437897,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.54,2.04,,
February,,,,,,,,,2.06,2.89,,
March,,,,,,,,,2.99,3.25,,
April,,,,,,,,,1.85,3.56,,
May,,,,,,,,,3.06,2.06,,
June,,,,,,,,,3.32,2.68,,
July,,,,,,,,,4.65,5.47,,
August,,,,,,,,,4.01,2.81,,
September,,,,,,,,,4.92,3.44,,
October,,,,,,,,,1.93,8.22,,
November,,,,,,,,,3.39,1.80,,
December,,,,,,,,,3.90,6.01,,
Total,,,,,,,,,39.62,44.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.62,44.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
