"LEITH NAVIGATION SCHOOL",,,,,,,,,,,,
Grid ref,NT266767,Long,-3.177784,Lat,55.977651,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.72,1.96,1.07,3.83,1.93,0.84,2.69,0.90,2.51,2.25,,
February,3.09,1.31,1.08,4.08,2.63,1.22,0.80,0.97,1.09,1.15,,
March,1.14,1.60,0.92,3.47,1.80,2.62,1.90,1.91,3.10,4.88,,
April,1.30,1.29,1.30,1.19,1.84,1.69,0.90,1.56,1.93,2.81,,
May,1.07,2.18,2.28,1.18,3.08,0.87,5.67,3.11,2.29,2.26,,
June,3.28,2.00,2.32,1.57,2.27,1.17,1.61,3.24,0.97,1.54,,
July,3.01,1.06,3.02,4.11,1.44,1.93,1.88,2.93,3.77,2.98,,
August,4.49,3.80,2.13,3.71,4.96,2.81,5.06,4.00,1.42,1.82,,
September,1.70,1.06,0.99,2.34,1.83,1.67,0.84,1.99,2.95,2.58,,
October,4.43,1.92,1.14,5.76,0.82,2.31,6.06,7.22,1.57,4.34,,
November,5.49,2.54,0.75,1.54,0.87,3.58,3.58,1.17,1.71,0.86,,
December,3.76,2.87,1.71,1.12,2.45,1.40,1.37,3.88,0.73,3.12,,
Total,35.48,23.59,18.71,33.90,25.92,22.11,32.36,32.88,24.04,30.59,,
Calc annual,35.48,23.59,18.71,33.90,25.92,22.11,32.36,32.88,24.04,30.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
