"OLDHAM HONEYWELL LANE",,,,,,,,,,,,
Grid ref,SD932036,Long,-2.104051,Lat,53.529014,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.79,2.23,2.96,3.12,3.41,2.22,4.34,1.95,3.47,2.32,,
February,3.30,1.84,1.21,3.65,3.85,2.19,3.43,2.04,3.34,1.84,,
March,0.69,2.95,2.17,4.09,2.28,3.88,3.45,2.97,2.78,3.33,,
April,3.12,2.53,2.07,1.93,2.67,3.63,1.96,1.72,2.15,3.75,,
May,1.60,1.07,2.94,3.10,2.71,0.73,3.30,3.81,2.55,1.93,,
June,4.26,2.07,1.55,1.61,1.00,3.42,1.57,7.00,2.26,2.46,,
July,2.85,3.48,2.55,4.31,1.35,2.53,2.27,3.43,5.47,6.27,,
August,5.63,2.09,3.73,5.06,4.69,4.58,3.78,4.46,3.94,3.36,,
September,1.90,0.85,1.67,4.98,1.79,3.00,1.69,1.14,4.01,2.55,,
October,5.60,3.07,4.78,8.40,1.77,3.64,5.78,4.86,1.37,5.74,,
November,2.98,5.09,1.83,3.33,3.25,3.68,3.22,2.85,2.42,1.78,,
December,5.04,5.26,2.83,1.26,2.88,0.92,4.04,3.53,2.89,7.33,,
Total,41.76,32.53,30.29,44.84,31.65,34.42,38.83,39.76,36.65,42.66,,
Calc annual,41.76,32.53,30.29,44.84,31.65,34.42,38.83,39.76,36.65,42.66,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
