"FALKIRK HOSPITAL",,,,,,,,,,,,
Grid ref,NS875787,Long,-3.804894,Lat,55.988035,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,8.41,3.10,1.76,,,4.68,,,
February,,,,8.57,3.40,2.71,,,2.10,,,
March,,,,9.32,2.16,3.70,,,3.61,,,
April,,,,1.37,4.88,2.52,,,1.30,,,
May,,,,2.44,3.16,1.56,,,3.55,,,
June,,,,1.92,1.89,0.45,,,2.12,,,
July,,,,4.70,3.61,1.99,,,4.13,,,
August,,,,5.16,4.53,2.34,,,3.52,,,
September,,,,3.43,2.33,1.52,,,6.20,,,
October,,,,7.78,1.57,2.81,,,1.90,,,
November,,,,2.23,1.82,4.47,,,2.69,,,
December,,,,2.51,4.23,4.31,,,2.21,,,
Total,,,,57.84,36.68,30.14,,,38.01,,,
Calc annual,0.00,0.00,0.00,57.84,36.68,30.14,0.00,0.00,38.01,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,0.00,NaN,,
