"NORWICH EATON",,,,,,,,,,,,
Grid ref,TG210070,Long,1.263112,Lat,52.615774,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.96,1.58,1.13,1.02,,
February,,,,,,,2.72,1.68,2.17,0.74,,
March,,,,,,,1.99,1.42,2.51,2.98,,
April,,,,,,,0.66,3.65,2.67,1.36,,
May,,,,,,,2.67,2.70,1.79,1.34,,
June,,,,,,,2.31,2.73,1.20,3.26,,
July,,,,,,,0.78,1.72,3.49,3.02,,
August,,,,,,,1.87,1.29,2.61,1.87,,
September,,,,,,,1.14,0.52,2.91,1.80,,
October,,,,,,,3.21,3.26,1.40,4.04,,
November,,,,,,,4.40,2.79,1.63,1.48,,
December,,,,,,,2.83,2.91,1.65,4.91,,
Total,,,,,,,28.54,26.25,25.16,27.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.54,26.25,25.16,27.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
