"BADMINTON",,,,,,,,,,,,
Grid ref,ST801828,Long,-2.288351,Lat,51.543741,,,,,,,
Station no,2195,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.94,2.15,1.95,4.12,4.20,0.58,4.76,1.53,1.99,1.43,,
February,7.34,0.67,0.31,1.98,4.73,0.69,2.22,1.97,1.54,0.64,,
March,1.33,2.70,2.07,4.61,1.37,4.55,2.16,0.92,2.95,3.46,,
April,1.36,3.42,1.87,2.82,1.81,3.15,1.34,3.42,2.90,2.45,,
May,2.59,1.20,2.18,5.05,2.48,0.48,1.97,2.69,1.37,1.81,,
June,2.21,1.10,2.84,4.73,1.75,2.74,3.00,3.18,0.85,4.28,,
July,0.92,3.05,1.28,4.04,3.01,1.88,1.08,3.11,0.81,2.65,,
August,3.79,3.04,4.18,4.08,2.45,4.82,1.71,1.87,3.08,3.24,,
September,0.70,3.15,3.90,3.67,1.84,1.36,0.97,0.67,3.63,3.51,,
October,3.91,2.08,2.10,7.91,1.42,1.27,5.48,5.74,2.19,5.90,,
November,3.24,0.79,2.78,2.62,1.97,4.70,3.61,2.79,1.49,1.04,,
December,6.48,6.35,3.06,2.43,2.26,1.45,1.93,5.89,2.95,5.30,,
Total,37.81,29.70,28.52,48.06,29.29,27.67,30.23,33.78,25.75,35.71,,
Calc annual,37.81,29.70,28.52,48.06,29.29,27.67,30.23,33.78,25.75,35.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
