"LOCKERBIE, CASTLE MILK",,,,,,,,,,,,
Grid ref,NY149774,Long,-3.334657,Lat,55.083718,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.46,2.15,3.10,5.73,3.65,1.89,5.64,1.90,4.32,3.67,,
February,3.50,0.86,0.50,4.85,2.94,2.09,2.72,3.00,2.94,1.80,,
March,0.36,3.10,4.10,7.29,4.29,4.69,2.93,3.80,4.14,4.11,,
April,2.99,3.70,2.40,1.90,3.94,3.02,0.81,2.80,1.73,4.21,,
May,3.41,2.85,2.20,3.50,3.00,4.33,6.44,4.93,3.62,2.77,,
June,3.72,4.05,1.50,1.55,3.87,2.25,2.18,7.62,2.92,2.34,,
July,3.09,1.24,3.30,5.00,3.55,2.59,2.81,2.50,3.54,5.01,,
August,6.42,5.15,3.35,5.30,4.33,5.12,7.22,5.50,6.05,2.87,,
September,2.25,1.85,1.90,4.50,1.58,2.81,1.72,0.88,4.00,2.12,,
October,6.05,4.75,2.85,10.09,3.26,2.71,5.12,8.10,3.01,8.59,,
November,5.35,4.80,3.45,2.97,2.29,4.25,3.39,3.37,2.42,1.57,,
December,7.50,4.15,4.51,3.69,3.51,1.66,3.06,6.11,3.76,6.46,,
Total,50.10,38.65,33.16,56.37,40.21,37.41,44.04,50.51,42.45,45.52,,
Calc annual,50.10,38.65,33.16,56.37,40.21,37.41,44.04,50.51,42.45,45.52,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
