"MIDDLESBOROUGH ALBERT PARK",,,,,,,,,,,,
Grid ref,NZ494191,Long,-1.237523,Lat,54.564725,,,,,,,
Station no,3487,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.24,1.18,0.55,2.04,1.76,0.29,2.36,0.41,1.35,0.54,,
February,4.37,1.89,1.13,0.91,2.20,0.67,0.91,1.07,1.44,1.15,,
March,1.20,1.72,0.63,1.97,1.12,1.42,1.05,0.77,1.81,3.81,,
April,1.12,1.02,1.32,1.56,1.10,2.00,0.52,1.38,2.19,1.73,,
May,1.10,1.54,2.31,2.81,3.28,0.58,2.63,3.65,1.70,1.73,,
June,3.10,1.37,1.94,2.74,1.25,0.89,0.70,3.13,0.50,1.62,,
July,1.34,4.16,2.44,3.12,1.68,0.65,0.91,1.35,2.78,2.74,,
August,6.79,1.45,1.80,1.81,2.50,3.14,2.57,1.73,1.02,5.59,,
September,0.70,0.66,0.74,3.22,1.28,2.16,0.47,0.38,1.67,1.72,,
October,6.71,1.67,2.99,6.88,0.52,2.22,4.11,4.31,1.18,2.30,,
November,2.57,3.99,0.63,1.77,2.25,4.62,2.50,2.05,1.34,1.55,,
December,2.09,3.39,1.44,0.96,1.91,0.31,1.74,3.15,0.83,2.82,,
Total,33.33,24.04,17.92,29.79,20.85,18.95,20.47,23.38,17.81,27.30,,
Calc annual,33.33,24.04,17.92,29.79,20.85,18.95,20.47,23.38,17.81,27.30,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
