"SPORLE",,,,,,,,,,,,
Grid ref,TF848113,Long,0.731507,Lat,52.667901,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.75,0.88,1.26,1.70,1.77,1.05,3.74,1.27,1.07,0.92,,
February,3.21,1.19,1.13,0.60,3.08,1.34,2.53,1.48,2.20,0.49,,
March,0.96,1.91,1.50,2.42,1.64,2.79,2.05,1.33,2.36,3.10,,
April,1.44,2.30,1.16,2.03,1.03,1.96,0.75,3.28,2.82,1.27,,
May,1.75,0.97,4.15,2.25,1.71,1.57,1.49,2.65,1.85,1.19,,
June,2.59,1.44,2.56,2.56,1.05,2.88,2.58,2.53,1.18,4.25,,
July,1.90,1.06,2.70,3.73,3.24,0.77,0.51,1.48,3.46,3.88,,
August,4.06,1.34,2.52,3.84,3.09,2.99,1.89,2.11,2.73,2.78,,
September,0.71,1.21,1.14,4.22,1.99,3.03,1.42,0.62,2.26,1.84,,
October,2.35,2.57,1.81,6.12,1.18,3.51,4.44,3.17,1.50,4.70,,
November,2.68,2.32,1.28,1.97,1.60,2.70,3.71,2.68,1.34,1.18,,
December,3.03,3.55,1.50,1.22,1.74,1.14,2.09,2.60,1.51,4.60,,
Total,28.43,20.74,22.71,32.66,23.12,25.73,27.20,25.20,24.28,30.20,,
Calc annual,28.43,20.74,22.71,32.66,23.12,25.73,27.20,25.20,24.28,30.20,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
